empresa,dominio,email,ciudad,rubro,hallazgo,estado
Dub Propiedades,dubpropiedades.cl,dubpropiedades@vtr.net,Las Condes,Inmobiliaria,Sin datos estructurados,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Gestall Propiedades,gestall.cl,info@gestall.cl,Las Condes,Inmobiliaria,La portada no tiene titulo + sin datos estructurados,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Rento Propiedades,rento.cl,contacto@rento.cl,Las Condes,Inmobiliaria,Sitio en orden (meta+schema) - angulo recomendacion IA,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Antica Propiedades,anticapropiedades.cl,contacto@anticapropiedades.cl,Las Condes,Inmobiliaria,Sin meta description,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Fuentes Propiedades,fuentespropiedades.com,contacto@fuentespropiedades.com,Providencia,Corredora,Sin meta description ni datos estructurados,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
JLB & Veniu Propiedades,jlbpropiedades.cl,contacto@jlbpropiedades.cl,Providencia,Corredora,Sitio en orden (meta+schema) - angulo recomendacion IA,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
MTC Propiedades,mtcpropiedades.cl,mtcortes@mtcpropiedades.cl,Providencia,Corredora,Sin datos estructurados; titulo es solo la sigla,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Propietat,propietat.cl,contacto@propietat.cl,Providencia,Corredora,Sitio en orden (meta+schema) - angulo recomendacion IA,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Polaris Propiedades,polarispropiedades.cl,hola@polarispropiedades.cl,Providencia,Corredora,Sitio en orden (meta+schema) - angulo recomendacion IA,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Corredora G,corredorag.cl,info@corredorag.cl,Santiago,Corredora,Sin datos estructurados,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Novaporta Propiedades,novaportapropiedades.cl,contacto@novaportapropiedades.cl,Nunoa,Corredora,Sin datos estructurados,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
BRAM Gestion Inmobiliaria,bram.cl,contacto@bram.cl,Nunoa,Corredora,Sitio en orden (meta+schema) - angulo recomendacion IA,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Vanguardia Propiedades,vanguardiapropiedades.com,contacto@vanguardiapropiedades.com,Nunoa,Inmobiliaria,Sin meta description ni datos estructurados,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Gesin Propiedades,gesinpropiedades.cl,joseviveros@gesinpropiedades.cl,Nunoa,Corredora,Sin meta description ni datos estructurados,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Property Partners,ppartnersgroup.com,infochile@ppartnersgroup.com,Nunoa,Corredora,Sitio en orden (meta+schema) - angulo recomendacion IA,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Migliardi Propiedades,migliardipropiedades.cl,migliardipropiedades@gmail.com,Nunoa,Corredora,Sin datos estructurados; titulo es Inicio,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Grupo Premium Propiedades,gpremium.cl,comunicaciones@gpremium.cl,Providencia,Inmobiliaria,Sitio en orden (meta+schema) - angulo recomendacion IA (contacto de comunicaciones),Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Alval Gestion Inmobiliaria,inversionesalval.cl,contacto@inversionesalval.cl,Providencia,Inmobiliaria,Sitio en orden (meta+schema) - angulo recomendacion IA,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Freedom Inmobiliario,freedominmobiliario.cl,operaciones@freedominmobiliario.cl,Padre Hurtado,Inmobiliaria,Sin datos estructurados,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Socias Inmobiliarias,sociasinmobiliarias.cl,contacto@sociasinmobiliarias.cl,Providencia,Inmobiliaria,Sitio en orden (meta+schema) - angulo recomendacion IA,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Cima Propiedades,propiedadescima.com,propiedades@propiedadescima.com,Concepcion,Corredora,Sin meta description ni datos estructurados,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Altura Inmobiliaria,ialtura.cl,contacto@ialtura.cl,Providencia,Inmobiliaria,Sitio en orden (meta+schema) - angulo recomendacion IA,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
MILA Propiedades,propiedadesmila.cl,contacto@propiedadesmila.cl,Las Condes,Corredora,Sin datos estructurados; portada sin titulo,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Schumacher Propiedades,schumacherpropiedades.cl,contacto@schumacherpropiedades.com,Las Condes,Corredora,Sitio en orden (meta+schema) - angulo recomendacion IA,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Boettcher Propiedades,boettcher.cl,contacto@boettcher.cl,Las Condes,Corredora,Sitio en orden (meta+schema) - angulo recomendacion IA,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Corredores Integrados,corredoresintegrados.cl,coor@corredoresintegrados.cl,Las Condes,Corredora,Sin datos estructurados; portada sin titulo,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
DONEC Gestion Inmobiliaria,donec.cl,donec@donec.cl,Las Condes,Inmobiliaria,Sin meta description ni datos estructurados,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
SILVEC Propiedades,silvecpropiedades.cl,atencionalcliente@silvecpropiedades.cl,Las Condes,Corredora,Sitio en orden (meta+schema) - angulo recomendacion IA,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Vidal Riedel y Cia,vidalriedel.cl,info@vidalriedel.cl,Las Condes,Corredora,Sin datos estructurados; portada sin titulo,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Cata Brochet Propiedades,catabrochet.cl,gerente@catabrochet.cl,Vitacura,Corredora,Sin datos estructurados; portada sin titulo,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Romo Propiedades,romopropiedades.cl,contacto@romopropiedades.cl,Vitacura,Corredora,Sin meta description ni datos estructurados,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Casas Chic,casaschic.cl,contacto@casaschic.cl,Vitacura,Corredora,Sin meta description ni datos estructurados,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Urbac Corredores,urbac.cl,propiedades@urbac.cl,Vitacura,Corredora,Sin datos estructurados; portada sin titulo,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Fernandez Propiedades,fernandezpropiedades.cl,ffernandez@fgi.cl,Vitacura,Corredora,Sin datos estructurados; portada sin titulo,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Goycoolea Propiedades,goycooleapropiedades.cl,contacto@goycooleapropiedades.cl,Vitacura,Corredora,Sin datos estructurados; portada sin titulo,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Farina Propiedades,fpropiedades.cl,administracion1@fpropiedades.cl,Vitacura,Corredora,Sin datos estructurados,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Vivax Corredores Asociados,vivax.cl,propiedades@corredoresasociados.cl,Vitacura,Corredora,Sin meta description ni datos estructurados,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Reinmobiliaria,reinmobiliaria.cl,contacto@reinmobiliaria.cl,Vitacura,Inmobiliaria,Sin datos estructurados,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
