empresa,dominio,email,ciudad,rubro,hallazgo,estado
Check Contabilidades,checkcontabilidades.cl,contacto@checkcontabilidades.cl,Providencia,Contadores,Sin meta description ni datos estructurados,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Amgestemp Servicios Contables,amgestemp.cl,contacto@amgestemp.cl,Providencia,Contadores,Sitio en orden (meta+schema) - angulo recomendacion IA,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
F5 Contable,f5contable.cl,contacto@f5contable.cl,Providencia,Contadores,Sitio en orden (meta+schema) - angulo recomendacion IA,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
OSC Plus,oscplus.cl,contacto@oscplus.cl,Providencia,Contadores,Tiene meta pero sin datos estructurados (JSON-LD),Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
GO Contadores Auditores,goauditores.cl,hola@goauditores.cl,Providencia,Contadores,Sin meta description,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Clave Tributaria Contadores,clavetributariacontadores.cl,hola@clavetributariacontadores.cl,Providencia,Contadores,Sin meta description ni datos estructurados,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
PCM Servicios Contables,pcmservicioscontables.cl,pceronm5@gmail.com,Providencia,Contadores,La portada no tiene etiqueta de titulo,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Contable.app,contable.app,hola@contable.app,Las Condes,Contadores,Sitio en orden (meta+schema) - angulo recomendacion IA,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Tu Oficina Contable,tuoficinacontable.cl,somos@tuoficinacontable.cl,Las Condes,Contadores,Sitio en orden (meta+schema) - angulo recomendacion IA,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
AK Contadores,akcontadores.cl,contacto@akcontadores.cl,Las Condes,Contadores,Sitio en orden (meta+schema) - angulo recomendacion IA,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Asesorias Alfaro y Pinto,alfaroypinto.com,contacto@alfaroypinto.com,Las Condes,Contadores,Sitio en orden (meta+schema) - angulo recomendacion IA,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
AST Auditores,astauditores.cl,cpavez@astauditores.cl,Nunoa,Contadores,Sin meta description,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
C&C Contadores Auditores,cyc-ca.com,contacto@cyc-ca.com,Las Condes,Contadores,Sitio en orden (meta+schema) - angulo recomendacion IA,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Greentax Asociados,greentax.cl,contacto@greentax.cl,Nunoa,Contadores,Sin datos estructurados,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
H&L Auditores Consultores,hyl.cl,contacto@hyl.cl,Nunoa,Contadores,Sitio en orden (meta+schema) - angulo recomendacion IA,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Aucont,aucont.cl,irwin.cordova@aucont.cl,Nunoa,Contadores,Sin datos estructurados; titulo es Inicio,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
Santiago Contadores,santiagocontadores.cl,sac@santiagocontadores.cl,Santiago Centro,Contadores,Sitio en orden (meta+schema) - angulo recomendacion IA,Nuevo (Google Maps) | dedup 31-ago OK (sin contacto previo)
